가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
신일서로67~68번길,36.44207896,127.412011,36.43422966,127.4014854,은행나무+중국단풍,,1.4,,은행나무와 중국단풍으로 가을이면 단풍의 아름다움을 느낄 수 있음,,,을미기4가~신일4가~ 대덕대로1284번길(한솔제지 기숙사),,,2024-08-01
신탄진동로 23번길,36.44795184,127.4318873,36.45157162,127.4308142,벚나무,,0.5,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,신탄제일신협 4가(신탄진동로 교점 ~청해루 앞 4가(대청로교점),,,2024-08-01
신탄진동로~ 신탄진동로24번길,36.44763382,127.4319887,36.44536752,127.4325785,벚나무+튜립나무+이팝나무,,1.4,,벚나무부터 튜립나무와 이팝나무까지 다양한 나무가 길을 이루고 있어 다채로운 즐거움이 있음,,,송원고가차도~보훈병원입구/신협신탄제일본점~신탄진로 756번길,,,2024-08-01
신탄진로,36.411286,127.4249363,36.43962876,127.4271207,은행나무+벚나무+기타,,11.5,,가장 긴 노선을 자랑하며 은행나무 등 다양한 가로수가 식재되어 있지만 그 중 단연 벚나무가 가장 아름다운 길,,,읍내3가 ~ 현도교,,,2024-08-01
신상로동부로,36.211618,127.271705,36.211031,127.273539,벚나무,,0.9,,벚나무가 만든 아름다운 벚꽃길과 길 중앙에 조성된 녹지대가 보기 좋은 길,,,왕룽숯불갈비 앞 4가~가양비래공원 3가 ~ 동부로 터널 입구,,,2024-08-01
신일서로126번길,36.43032367,127.4059873,36.43174155,127.4077344,회화나무+이팝나무,,0.9,,이팝나무의 꽃과 회화나무가 조화롭게 어울리는 길,,,씨알들삼거리 ~용신교,,,2024-08-01
상용호진입도로,36.265469,127.274691,36.264115,127.254853,벚나무,,0.9,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,대청로(용정 용호분교) 교점 ~ 상용호,,,2024-08-01
석봉로,36.264915,127.251924,36.265071,127.254112,벚나무,,0.9,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,이문고 진입로 ~송원고가차도,,,2024-08-01
선비마을로,36.214177,127.264461,36.222848,127.254135,중국단풍,,3.4,,아파트 외곽을 따라 이어진 가로수길로서 계족산과 체육공원들이 있어 건강한 길,,,송촌동성당앞 3가~선비마을APT뒷길~계족로(동부평생교육문화센터),,,2024-08-01
선비마을로 23번길,36.215562,127.263921,36.214775,127.264946,중국단풍,,0.3,,중국단풍과 길을 따라 조성된 녹지대에 휴식공간이 조화로운 길,,,선비마을5단지~  송촌초_고교 사잇길,,,2024-08-01
송촌남로,36.35583201,127.4442988,36.35190001,127.441431,이팝나무,,0.8,,이팝나무가 식재되어 봄철이면 아름다운 이팝나무 꽃을 감상할수 있음,,,동서대로(산림조합중앙회) ~ 흥일 APT 앞길 ~한밭대로(동부4가),,,2024-08-01
송촌로~ 계족산로52번길,36.36219593,127.4371316,36.36028998,127.4408033,중국단풍,,1.3,,중국단풍과 길을 따라 조성된 녹지대에 휴식공간이 조화로운 길,,,동서대로(복된교회)~계족산로~ 계족산로81번길 교점 4가,,,2024-08-01
장동로~산디로,36.241437,127.252522,36.234474,127.262802,이팝나무,,7.2,,이팝나무가 식재되어 봄철이면 아름다운 이팝나무 꽃을 감상할수 있음,,,장동진입로~탄약창장동초3가 ~ 산디마을,,,2024-08-01
중리동로,36.213322,127.254733,36.220512,127.254123,은행나무,,2.1,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,한밭대로(아이비가구앞)3가~ 중리초교 4가,,,2024-08-01
중리로,36.215843,127.253015,36.213292,127.253125,은행나무+이팝나무,,1.4,,은행나무와 이팝나무가 식재되어 봄철에는 이팝나무 꽃~ 가을철엔 단풍이 아름다운 길,,,중리주공 1단지 정문 ~일등 현대오일뱅크(한밭대로) 앞 3가,,,2024-08-01
중리북로,36.220861,127.254046,36.215884,127.252409,은행나무,,0.9,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,계족로~ 동춘당로 교점(보람@) 4가 ~ 중리주공1단지 중리서로교점3가,,,2024-08-01
청림길,36.213083,127.252454,36.212059,127.252478,벚나무,,0.3,,벚나무가 만들어내는 봄철의 벚꽃길과 깔끔하게 조성된 보도가 아름다운 길,,,한밭대로(한국소방협회)~ 한남대(문과대 정문) 입구,,,2024-08-01
평촌1길,36.263071,127.254665,36.255475,127.260961,벚나무,,1.3,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,신탄진과선교 ~(주)로보엔지니어링,,,2024-08-01
한남로,36.204789,127.244693,36.215091,127.254066,은행나무,,2.3,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,한남대교 ~ 홍도로 교점(한남로 3거리),,,2024-08-01
한남로149~ 150번길,36.204251,127.245937,36.211414,127.241981,은행나무+회화나무,,1.9,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,왕궁바지락칼국수옆 4가~황해면옥 앞 4가 / 대전천북로~ 오정로 109번길 교점,,,2024-08-01
한밭대로,36.212503,127.242018,36.213286,127.255453,은행나무+느티나무+메타세콰이아+이팝나무+기타,,3.5,,곧게 선 메타세쿼이아와 은행나무로 조성되어 있고~ 녹지대의 휴식공간이 어울리는 공간,,,농수산5가 ~ 중리4가,,,2024-08-01
한밭대로1006번길,36.211575,127.245261,36.212837,127.243691,은행나무,,0.6,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,거북마트(오정로 76번길)교점 3가 ~ 오정로110번길 교점,,,2024-08-01
한밭대로1009번길,36.213054,127.243883,36.214712,127.243334,벚나무,,0.7,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,럭키주유소(오정동~ 한밭대로교점) ~양지터널길~ 대화로 교점,,,2024-08-01
홍도로,36.215481,127.254114,36.213123,127.253704,버즘나무,,1.3,,버즘나무로 조성되어 편안함과 운치를 느낄 수 있음,,,한남로 3가 ~ 으뜸오일뱅크(한밭대로)교점,,,2024-08-01
신탄진로738번길,36.263553,127.254635,36.262584,127.255989,벚나무,,0.5,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,남경마을로 교점 ~ 신탄자동차 운전전문학원,,,2024-08-01
우암로,36.211668,127.271658,36.213487,127.265317,은행나무,,1.4,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,비래서로~ 신상로 교점 4가 ~ 동춘당로 교점,,,2024-08-01
우암동로,36.212926,127.275031,36.213584,127.278812,은행나무,,0.2,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,우암로~ 비래동로 교점~우암로 412번길 교점,,,2024-08-01
신탄진로190번길,36.235024,127.252374,36.234565,127.253451,은행나무,,0.3,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,신탄진로 교점 3가~ 수자원공사_회덕침례교회사잇길,,,2024-08-01
신탄진로681번길,36.262002,127.253503,36.262102,127.252535,벚나무,,0.2,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,신탄나들목길,,,2024-08-01
신탄진로756번길,36.264489,127.267731,36.264165,127.254749,벚나무,,1.3,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,현대모비스 ~ 대도 현대오일뱅크(신탄진로 교점),,,2024-08-01
신탄진북로32번길,36.27489067,127.2689376,36.27487668,127.2691462,은행나무,,0.1,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,새여울APT2단지진입로,,,2024-08-01
쌍청당로,36.214431,127.267312,36.223991,127.261771,은행나무,,0.8,,은행나무가 식재되어 있어 가을철 단풍과 자연과 어울리게 조성된 쌍청공원이 인접하여 산책에 적합,,,계족산로~ 계족산로 36번길 교점 ~ 삼익소월상가 앞 4가,,,2024-08-01
아리랑로,36.222772,127.253942,36.223814,127.244081,은행나무+기타,,2.2,,은행나무가 식재되어 있어 가을철 단풍의 아름다움을 느낄 수 있음,,,계족로~ 동부평생교육문화센터교점 4가 ~ 원촌교,,,2024-08-01
오정로,36.205471,127.245583,36.212342,127.242028,이팝나무,,1.8,,이팝나무가 식재되어 봄철이면 아름다운 이팝나무 꽃을 감상할수 있음,,,한남5가 ~ 농수산5가,,,2024-08-01
대화로 32번길,36.224131,127.245804,36.223111,127.235131,버즘나무,,3.6,,오래된 버즘나무들이 있어 길이 더욱 아름다움,,,대전만민교회 앞4가~대동보링앞길~천변도시고속도로 한밭TG정문앞,,,2024-08-01
대화로 50번길,36.223881,127.245191,36.229571,127.251059,버즘나무,,0.8,,오래된 버즘나무들이 있어 길이 더욱 아름다움,,,대전한일병원앞 4가~기아자동차대전서비스센터 3가,,,2024-08-01
대화로132번길,36.215795,127.242339,36.222555,127.241041,버즘나무,,1.3,,오래된 버즘나무들이 있어 길이 더욱 아름다움,,,영일케미컬 3가 ~천변도시고속도로변,,,2024-08-01
대화로52번길,36.224261,127.245047,36.223531,127.243628,버즘나무+수양버들,,1.4,,오래된 버즘나무들과 수양버들이 있어 길이 더욱 아름다움,,,대전한일병원앞 4가~천변도시고속도로변,,,2024-08-01
덕암로,36.251875,127.259391,36.263807,127.253221,중국단풍,,3.5,,곧게 자란 중국단풍이 길을 이뤄 아름다움,,,산막3가 ~ 대덕구 보건소 진입로 4가,,,2024-08-01
덕암로 148번길,36.255696,127.252328,36.261521,127.251852,중국단풍,,0.3,,곧게 자란 중국단풍이 길을 이뤄 아름다움,,,맥도널드대전신탄진 DT 앞 4거리(신탄진로교점) ~㈜한울F&S 앞 3거리(덕암로 교점),,,2024-08-01
덕암북로,36.26769205,127.2599293,36.26195479,127.2541906,벚나무+기타,,1.5,,벚나무가 식재되어 봄에 화사한 풍경을 제공하며~ 한쪽에 녹지가 조성되어 편안한 휴식처 제공,,,신탄진과선교 ~엑슬로타워 4가,,,2024-08-01
동서대로,36.213795,127.265385,36.214711,127.263184,은행나무+메타세콰이어+소나무,,1.3,,대전의 관문으로 유동인구가 많고~ 타지 사람들에게 대전의 이미지를 보여주기 위하여 곧고 높게 자란 메타세쿼이아와 함께 잘 조성된 가로화단이 돋보이는 구간,,,대전IC ~ 동부4가,,,2024-08-01
동춘당로,36.213663,127.265051,36.222381,127.254884,은행나무+느티나무,,2.6,,대덕구의 명소이자 유서 깊은 동춘당을 지나는 가로수길로서~ 녹지대에 느티나무를 식재하여 녹음을 제공하고 가을에는 은행나무의 단풍이 아름다움,,,우암로 ~ 보람@ 4가,,,2024-08-01
동춘당로 151번길,36.221184,127.267151,36.215636,127.261046,은행나무,,0.8,,좁은 길이지만 은행나무를 식재하여 안락한 느낌을 줌,,,삼익소월~ 매봉중 사잇길,,,2024-08-01
동춘당로 94~ 114~ 126번길,36.215551,127.262327,36.227611,127.263717,느티나무+중국단풍,,1.4,,잘 조성된 느티나무와 중국단풍이 아름답게 길을 만들고 있음,,,동춘당로 ~ 선비마을로,,,2024-08-01
문평동로신일동로,36.261231,127.245005,36.265862,127.235651,은행나무+버즘나무+메타세콰이어,,2.5,,크게 자란 버즘나무와 메타세쿼이아가 도로의 양쪽에 식재되어 안정감을 느낄수 있음,,,장영실관 앞길 ~ 대덕우체국4가~문평서로76번길,,,2024-08-01
문평서로신일서로,36.260761,127.243503,36.264815,127.234024,은행나무,,2.7,,은행나무로 조성되어 있어 가을이면 아름다운 단풍의 정취를 느낄수 있음,,,씨알들삼거리 ~대덕산단네거리문평서로76번길,,,2024-08-01
벚꽃길,36.26657487,127.2577138,36.2615363,127.253925,버즘나무+벚나무,,3,,벚나무로 조성되어 봄이면 아름다운 벚꽃을 볼 수 있어~ 도로명까지 벚꽃길이라 칭함,,,신탄진과선교 ~ 정비창정문,,,2024-08-01
비래골길,36.215713,127.264999,36.224981,127.274141,벚나무,,0.8,,벚나무가 식재되어 봄에 화사한 풍경을 제공,,,선비마을길(선비마을5단지) ~비래사입구,,,2024-08-01
비래동로,36.211512,127.265707,36.212831,127.274561,이팝나무,,0.7,,이팝나무가 식재되어 봄에 이팝나무 꽃이 만발함,,,비래서로(비래동주민센터 진입로) ~우암로 교점 4가,,,2024-08-01
비래서로,36.211612,127.271561,36.212033,127.264171,은행나무,,1.4,,은행나무가 식재되어 가을에 은행나무 단풍을 느낄 수 있음,,,왕룽숯불갈비 앞 4가~산림조합중앙회,,,2024-08-01
비래서로9번길,36.211966,127.264456,36.213281,127.265517,은행나무+튜립나무,,0.8,,은행나무와 튜립나무가 식재되어 튜립나무의 아름다운 잎과 가을에 은행단풍을 느낄 수 있음,,,산림조합중앙회~우암로 교점 4가,,,2024-08-01
산업단지로,36.255415,127.242878,36.254069,127.251387,은행나무+회화나무,,1.8,,회화나무와 은행나무로 이루어진 가로수길과 중앙화단에 조성된 영산홍이 아름다움,,,장고개삼거리~신탄진로 교점 3가,,,2024-08-01
상서로,36.254865,127.258661,36.252495,127.253195,벚나무,,0.8,,벚나무가 만들어내는 봄철의 벚꽃길이 아름다움,,,산막 ~ 철도차량정비창,,,2024-08-01
대덕대로1527번길,36.265693,127.254912,36.271352,127.254305,벚나무+기타,,2.6,,벚꽃 축제로도 유명한 신탄진 일대의 가로수길로~ 봄꽃의 향긋함을 느낄 수 있음,,,한국타이어 후문3가 ~금강 ~ 삼보카(현도교),,,2024-08-01
대전천북로,36.203822,127.244952,36.212369,127.241909,버즘나무+벚나무+느티나무+수양버들+감나무,,2.4,,천변을 따라 벚나무와 수양버들이 나란히 식재되어 도심 속에서 자연을 만끽할 수 있음,,,대전로 987번길 ~농수산5가,,,2024-08-01
대전로,36.204093,127.251348,36.225354,127.253228,은행나무+버즘나무+튜립나무+이팝나무+기타,,5.2,,버즘나무부터 은행나무~ 이팝나무까지 노선별로 다양한 수종이 분포하여 보는 재미가 있는 가로수 길,,,호남철도 동구경계 ~ 읍내3거리,,,2024-08-01
대전로 1291번길,36.228571,127.251187,36.223241,127.245289,버즘나무,,1.3,,도로 한쪽에 버즘나무가 식재되어 버즘나무의 아름다움을 느낄수 있음,,,대화공단3가 다음3거리 ~ 대화공단 원촌진입로,,,2024-08-01
대전로 1331번길,36.215489,127.240651,36.222212,127.251174,버즘나무+중국단풍,,3.2,,버즘나무와 중국단풍으로 조성되어 아름다운 길,,,도시고속화도로 진입로~ 남선기공~대전로,,,2024-08-01
대덕대로,36.261938,127.234232,36.273571,127.254249,벚나무+백목련+기타,,4.7,,가로화단에 조성된 향나무와 은행나무로 인해 보도와 차도를 분리시켜 보행자로 하여금 안정감과 자연을 느끼게 함,,,신구교 ~ 신탄진4가,,,2024-08-01
대전로 1019~1033번길,36.20399163,127.2468893,36.20388303,127.2471113,은행나무+이팝나무,,0.6,,대덕구청이 근처에 위치하여 있으며~ 잘 관리되어 있는 은행나무와 이팝나무로 인해 정갈하며 차분한 느낌이 드는 길,,,대전천북로 ~ 대전로(동구경계 호남철도변),,,2024-08-01
대전로 1020~한남로 88번길,36.204699,127.256412,36.211336,127.245531,느티나무+이팝나무,,1.4,,이팝나무로 조성되어 봄철 이팝나무 꽃이 피면 아름다운 길,,,대전로(중앙타일상사) ~ 옛신탄진로 ~오정철교(GS칼텍스),,,2024-08-01
대청호수로,36.26824055,127.2686421,36.26600607,127.2724181,벚나무,,10.5,,대청호수를 끼고 조성된 길. 벚나무로 조성되어 봄철 벚꽃으로 유명하며~ 드라이브 코스로 유명.,,,삼정취수장 3가 ~ 동구 경계,,,2024-08-01
대청로,36.27443659,127.2540446,36.27346067,127.2531623,은행나무+벚나무+튜립나무+무궁화,,7.8,,벚나무로 유명한 신탄진의 명소~ 대청공원으로 들어가는 길에 조성된 벚나무 길~ 대전뿐만 아니라 전국적으로도 유명.,,,신탄진4가 ~ 대청댐(대청교),,,2024-08-01
대청로 64~82번길,36.271152,127.266931,36.271111,127.261039,은행나무+메타세콰이어,,1.8,,크게 자란 메타세쿼이아가 도시 속에서 자연을 느낄 수 있게 함,,,용정초정문~신탄진고교새여울 APT 뒷길,,,2024-08-01
대화로,36.22329494,127.2513989,36.22023199,127.255126,은행나무+버즘나무+이팝나무,,3.4,,가로수 양쪽에 조성된 이팝나무가 봄철에 꽃을 피어 아름다움,,,대화공단3가~공구상가 정문~오광무지개APT앞 3가,,,2024-08-01
32번국도,36.28211598,127.2447977,36.27093874,127.2588244,벚나무+이팝나무,,1.2,,벚나무와 이팝나무로 조성되어 있어 화사한 봄꽃과 옆에 흐르는 아름다운 금강의 풍경을 조화롭게 즐길 수 있음,,,신탄진문의간 대청로교점(용정초분교)~ 현도교,,,2024-08-01
갑천우안도로,36.215723,127.235191,36.251475,127.251187,버즘나무+느티나무+중국단풍+히말라야시다+소나무,,6.5,,갑천변을 따라 수령이 오래되어 수고가 높고 짙은 녹음이 아름다운 길,,,천변도시고속화도로,,,2024-08-01
