가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
가수원로,36.30393495,127.3494621,36.29771571,127.3559359,은행+중국단풍,178,0.42,1994,은행나무와 중국단풍이 조성되어 있어 아름다운 단풍을 느낄수 있는 가로수길,,일반국도,가수원동사무소-벌곡길,042-288-3616,대전광역시 서구청,2026-06-10
가장로,36.340586,127.3775873,36.33325388,127.3863759,은행+이팝+목백합,255,0.96,1994,은행나무의 단풍과 이팝나무의 꽃이 어우러져 있는 가로수길,,일반국도,버드내길-가장로-괴정로,042-288-3616,대전광역시 서구청,2026-06-10
갈마로,36.35220435,127.3696807,36.32805666,127.3883605,은행+버즘+회화+목백합,505,3.4,1971,은행나무의 단풍뿐 아니라 버즘나무의 시원한 건널목 형성으로 쾌적한 가로수길,,일반국도,가장교-갈마삼거리,042-288-3616,대전광역시 서구청,2026-06-10
갈마역로,36.35073782,127.3732609,36.36451354,127.3742961,버즘+회화,264,1.52,1994,버즘나무의 큰잎과 회화나무의 밀생되어 있는 잎으로 만들어내는 시원한 건널목을 느끼며 산책할수 있는 가로수길,,일반국도,계룡로-둔산대로,042-288-3616,대전광역시 서구청,2026-06-10
갑천도시고속도로,36.346941,127.351748,36.370849,127.379542,은행+버즘+느티+이팝+메타+벚+반송+복자기,1324,2.85,1994,버즘나무와 은행나무의 이중가로수 등 여러 수종으로 인한 다양한 수종이 어우려져있는 가로수길,,일반국도,도안동-대덕대교,042-288-3616,대전광역시 서구청,2026-06-10
계룡로,36.35642525,127.3316756,36.31843306,127.4174775,은행+버즘+느티+메타+목백합,959,5,1997,버즘나무와 메타세쿼이아 등 여러 수종으로 인한 다양한 수종이 어우려져있는 가로수길,,일반국도,수침교-만년교,042-288-3616,대전광역시 서구청,2026-06-10
계룡로500번길,36.3445107,127.3796977,36.34095353,127.3774944,은행나무,90,0.4,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,유승기업-괴정로,042-288-3616,대전광역시 서구청,2026-06-10
계룡로536번길,36.342977,127.383092,36.340651,127.381511,은행나무,11,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,구도,한신아파트진입로,042-288-3616,대전광역시 서구청,2026-06-10
계룡로553번길,36.34659989,127.3851051,36.3430043,127.3850763,메타세콰이어,34,0.4,1994,메타세쿼이아의 서늘하고 쾌적한 보행환경 제공 및 단풍을 느낄수 있는 가로수길,,일반국도,문정로-계룡로,042-288-3616,대전광역시 서구청,2026-06-10
계룡로571번길,36.34662378,127.3874724,36.34253801,127.3871459,은행나무,80,0.8,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,문정로-산호아파트-계룡로,042-288-3616,대전광역시 서구청,2026-06-10
계백로,36.32233569,127.4121305,36.21102129,127.111123,은행+이팝나무+메타세쿼이아,1346,5.9,1996,은행나무의 단풍과 이팝나무의 꽃이 어우러져있음,,일반국도,유등교-진잠네거리,042-288-3616,대전광역시 서구청,2026-06-10
계백로776번길,36.28887245,127.3202133,36.28338588,127.3229514,소나무,17,0.77,2012,소나무의 청량함을 느낄수 있는 가로수길,,일반국도,서대전ic,042-288-3616,대전광역시 서구청,2026-06-10
관저남로,36.294921,127.334812,36.297843,127.345037,벚나무,278,0.9,1996,벚나무의 벚꽃으로 봄의 정취를 느낄수 있는 가로수길,,일반국도,관저중로-구봉산북로,042-288-3616,대전광역시 서구청,2026-06-10
관저동로,36.310751,127.338874,36.292247,127.340474,회화+느티+이팝,302,1.3,1996,느티나무가 만들어내는 그늘로 인한 쾌적한 보행환경과 이팝나무의 꽃의 산뜻함을 느낄수 있는 가로수길,,일반국도,관저고-도안동로,042-288-3616,대전광역시 서구청,2026-06-10
관저동로90번길,36.30021571,127.3407393,36.29928008,127.3433292,이팝나무,71,0.37,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,관저동로-관저로,042-288-3616,대전광역시 서구청,2026-06-10
관저로,36.29925438,127.3444313,36.29436903,127.3254625,은행+회화나무,242,1.7,1996,은행나무의 단풍과 회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,구봉산북로-느리울초교삼거리,042-288-3616,대전광역시 서구청,2026-06-10
관저북로,36.31073159,127.3370911,36.30185283,127.3370418,회화나무,156,0.95,1996,회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,관저고-계백로,042-288-3616,대전광역시 서구청,2026-06-10
관저서로,36.30079412,127.3288848,36.29647444,127.3299772,중국단풍,121,0.85,1996,중국단풍의 단풍을 느낄수 있는 가로수길,,일반국도,구봉중삼거리-구봉네거리,042-288-3616,대전광역시 서구청,2026-06-10
관저중로,36.30124177,127.3348152,36.29227062,127.3347658,느티나무,105,0.6,1996,느티나무가 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,관저네거리-관저체육공원,042-288-3616,대전광역시 서구청,2026-06-10
관저중로64번길,36.29877937,127.3355896,36.2978353,127.3404005,이팝나무,27,0.51,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,관저중로-관저동로,042-288-3616,대전광역시 서구청,2026-06-10
관저중로96번길,36.300558,127.334898,36.300229,127.340595,이팝나무,22,0.53,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,관저중로-관저동로,042-288-3616,대전광역시 서구청,2026-06-10
괴정로,36.339698,127.374571,36.331351,127.392781,은행+히말라야,345,1.82,1994,은행나무의 단풍을 느끼며 산책할 수 있는 가로수길,,일반국도,한국통신연수원-유등천,042-288-3616,대전광역시 서구청,2026-06-10
구봉로,36.298877,127.323989,36.305061,127.371014,회화+이팝+중국단풍+벚,814,11.98,1996,"봄에는 벚나무의 벚꽃, 이팝나무의 하얀꽃, 여름엔 회화나무의 밀생한 잎으로 만들어내는 그늘, 가을엔 중국단풍의 단풍을 느낄수 있는 가로수길",,일반국도,진잠4-빼올입구-삼정하이츠-혜천로,042-288-3616,대전광역시 서구청,2026-06-10
구봉로147번길,36.301414,127.338911,36.296425,127.339351,이팝나무,20,0.6,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,관저동로105번길-구봉로,042-288-3616,대전광역시 서구청,2026-06-10
