가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
계백로,36.27603043,127.262442,36.28189196,127.3071168,은행나무+배롱나무,121,0.6,,은행/배롱나무로 가로수길 조성,,,"계백로93번길(송정교-선창마을회관), 계백로(방동대교-로타리동산)",042-611-2721,대전광역시 유성구청,2025-07-15
계백로,36.27025975,127.2734586,36.28189196,127.3071168,은행나무,602,7.7,,은행나무로 가로수길 조성,,,"계백로(엉골입구-방동대교), 계백로(오일뱅크주유소-엉골입구), 계백로(계룡대교-오일뱅크주유소)",042-611-2721,대전광역시 유성구청,2025-07-15
계백로,36.27084252,127.2730839,36.3153522,127.2775277,이팝나무,375,2.6,,이팝나무로 가로수길 조성,,,방동삼거리~성북동산림욕장1,042-611-2721,대전광역시 유성구청,2025-07-15
계백로,36.27084252,127.2730839,36.3153522,127.2775277,이팝나무,358,1.8,,이팝나무로 가로수길 조성,,,방동삼거리~성북동산림욕장2,042-611-2721,대전광역시 유성구청,2025-07-15
진잠로,36.29351684,127.3204516,36.30432189,127.3204605,은행나무+이팝나무+양버즘나무+둥근소나무,1038,4.7,,은행/이팝/양버즘/둥근소나무 가로수길 조성,,,"진잠동,원내동,교촌동",042-611-2721,대전광역시 유성구청,2025-07-15
진잠로,36.3117058,127.317462,36.31642603,127.3239636,은행나무+이팝나무+느티나무+소나무+둥근소나무,594,1.2,,은행/이팝/느티/소나무/둥근소나무로 가로수길 조성,,,대정동,042-611-2721,대전광역시 유성구청,2025-07-15
진잠로,36.29351684,127.3204516,36.30432189,127.3204605,은행나무,139,2,,은행나무로 가로수길 조성,,,원내동,042-611-2721,대전광역시 유성구청,2025-07-15
"봉명,장대,상대",36.35889681,127.3559231,36.35815172,127.3288006,은행나무+이팝나무+느티나무+메타쉐콰이어+둥근소나무+칠엽수나무+공작단풍+꽃사과,1935,9.3,,은행/이팝/느티/메타쉐콰이어/동근소나무/칠엽수/공작단풍/꽃사과로 가로수길 조성,,,봉명동,042-611-2721,대전광역시 유성구청,2025-07-15
"봉명,장대,상대",36.36602548,127.3279637,36.35858735,127.3412275,은행나무+이팝나무+왕벚나무+양버즘나무+느티나무+중국단풍+메타쉐콰이어+백합나무+복자기나무,1285,8.5,,은행/이팝/왕벚/양버즘/느티/중국단풍/메타쉐콰이어/백합/복자기나무로 가로수길 조성,,,장대동,042-611-2721,대전광역시 유성구청,2025-07-15
"봉명,장대,상대",36.34723679,127.3253983,36.33404215,127.3328136,은행나무+이팝나무+양버즘나무+메타쉐콰이어,380,3.5,,은행/이팝/양버즘/메타쉐콰이어나무 가로수길 조성,,,상대동,042-611-2721,대전광역시 유성구청,2025-07-15
현충원로,36.35938129,127.317862,36.36226583,127.2696985,이팝나무+중국단풍나무+무궁화,930,4,,이팝/중국단풍/무궁화나무로 가로수길 조성,,,현충원역삼거리~삽재고개1,042-611-2721,대전광역시 유성구청,2025-07-15
현충원로,36.35938129,127.317862,36.36226583,127.2696985,무궁화,450,2.8,,무궁화나무로 가로수길 조성,,,현충원역삼거리~삽재고개2,042-611-2721,대전광역시 유성구청,2025-07-15
동서대로,36.36041736,127.3053774,36.34088625,127.2848381,이팝나무+둥근소나무+배롱나무+복자기나무+산딸나무,328,1.7,,이팝/둥근소나무/배롱/복자기/산딸나무로 가로수길 조성,,,덕명네거리~화산천1,042-611-2721,대전광역시 유성구청,2025-07-15
동서대로,36.36041736,127.3053774,36.34088625,127.2848381,이팝나무+느티나무+둥근소나무+배롱나무,312,1.2,,이팝/느티/둥근소나무/배롱나무로 가로수길 조성,,,덕명네거리~화산천2,042-611-2721,대전광역시 유성구청,2025-07-15
동서대로,36.35931356,127.3047795,36.34947341,127.3075726,은행나무,101,1,,은행나무로 가로수길 조성,,,하우스토리네오미아~복용승마장,042-611-2721,대전광역시 유성구청,2025-07-15
