가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
서문로,36.315508,127.407797,36.308462,127.408138,중국단풍,148,0.6,1993,중국단풍길,,구도,문화로~한밭도서관,042-606-6594,대전광역시 중구청,2024-08-13
평촌로,36.321392,127.393188,36.323485,127.401078,은행나무,170,1.9,1985,은행나무길,,구도,태평로~수침로,042-606-6594,대전광역시 중구청,2024-08-13
대종로,36.344494,127.405303,36.297224,127.456141,버즘나무+목백합+은행나무+이팝나무,,5.6,,버즘나무길,,구도,중촌육교~부사4가,042-606-6594,대전광역시 중구청,2024-08-13
동서대로,36.337564,127.417222,36.326902,127.391109,은행나무,,4.1,,은행나무길,,구도,가장교~현암교,042-606-6594,대전광역시 중구청,2024-08-13
어덕마을로,36.343322,127.411529,36.332073,127.401225,은행나무+중국단풍+메타세콰이어,,2.4,,중국단풍길,,구도,계룡육교~대전천,042-606-6594,대전광역시 중구청,2024-08-13
목중`대성로,36.339802,127.406563,36.334617,127.413215,버즘나무+목백합+은행나무+중국단풍+느티나무+메타세콰이어+이팝나무,,3,,버즘나무길,목중로,구도,법원3가~중촌동,042-606-6594,대전광역시 중구청,2024-08-13
보문로,36.333157,127.419298,36.314569,127.438894,버즘나무+은행나무+중국단풍+히말라야시다,,3,,버즘나무길,,구도,대고5가~문창교,042-606-6594,대전광역시 중구청,2024-08-13
중앙로,36.322571,127.412891,36.329686,127.428525,버즘나무+은행나무+느티나무+이팝나무,,2,,은행나무길,,구도,서대전4가~홍명상가,042-606-6594,대전광역시 중구청,2024-08-13
대흥로,36.321026,127.414946,36.325502,127.431959,버즘나무+은행나무,,1.4,,버즘나무길,,구도,시민회관3가~대흥교,042-606-6594,대전광역시 중구청,2024-08-13
충무로,37.568048,126.992406,37.561495,126.993179,버즘나무+은행나무+벚나무+회화나무,,2.3,,버즘나무길,,구도,테미3가~보문교,042-606-6594,대전광역시 중구청,2024-08-13
태평로,36.332813,127.398071,36.317106,127.391522,버즘나무+목백합+은행나무+이팝나무+단풍나무,,2.5,,은행나무길,,구도,수침교~계백로,042-606-6594,대전광역시 중구청,2024-08-13
유천로,36.325339,127.394901,36.328863,127.399472,버즘나무+목백합+은행나무,,2.5,,은행나무길,,구도,태평5가~문화초교3가,042-606-6594,대전광역시 중구청,2024-08-13
계백로,36.315699,127.386945,36.322168,127.411889,은행나무,,3,,은행나무길,,구도,유등교~서대전4가,042-606-6594,대전광역시 중구청,2024-08-13
문화로,36.310117,127.386945,36.317978,127.415445,버즘나무+목백합+은행나무+이팝나무+단풍나무+왕벚나무,,5.2,,버즘나무길,,구도,도마교~테미3가,042-606-6594,대전광역시 중구청,2024-08-13
산성로,36.305623,127.389619,36.313767,127.402881,버즘나무+목백합+은행나무+중국단풍+회화나무+느릅나무+이팝나무,,3.5,,버즘나무길,,구도,버드네교~충남기계공고,042-606-6594,대전광역시 중구청,2024-08-13
보문산로,36.304437,127.382732,36.317637,127.417795,은행나무+회화나무+느릅나무+이팝나무,,5.5,,회화나무길,,구도,산성3가~대사4가,042-606-6594,대전광역시 중구청,2024-08-13
중교로,36.324155,127.420722,36.327609,127.430369,이팝나무,,1.8,,이팝나무길,,구도,시민회관~중교,042-606-6594,대전광역시 중구청,2024-08-13
선화로,36.324573,127.410451,36.332444,127.424937,버즘나무+은행나무+이팝나무,,2.7,,버즘나무길,,구도,계룡로~선화교,042-606-6594,대전광역시 중구청,2024-08-13
오류로,36.330838,127.401452,36.320774,127.405463,목백합+은행나무+벚나무+메타세콰이어+감나무,,2.5,,은행나무길,,구도,계룡육교~삼익아파트,042-606-6594,대전광역시 중구청,2024-08-13
선화동예술과낭만의거리,36.325434,127.420274,36.329561,127.420038,이팝나무+은행나무+버즘나무,,0.15,,예술과낭만의거리,중앙로79번길,구도,중앙로~보문로,042-606-6594,대전광역시 중구청,2024-08-13
