관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30230-00001,중리,근린공원,대전광역시 대덕구 중리동로41번길28(중리동),대전광역시 대덕구 중리동388-17,36.36307194,127.4281536,10322,농구골대+평행봉+철봉,조합놀이대,평의자+평상+화장실,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00002,쌍청,근린공원,대전광역시 대덕구 쌍청당로 25 (중리동),대전광역시 대덕구 중리동101-1,36.36427903,127.4343041,17713,야외운동기구,조합놀이대,평의자+평상+화장실,청소년수련관,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00003,안산,근린공원,대전광역시 대덕구 계족로663번길25(법동) 안산도서관,대전광역시 대덕구 법동284-2,36.36823931,127.4271819,13520,평행봉+철봉,,평의자+지압로,안산평생학습도서관,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00004,문평,근린공원,대전광역시 대덕구 문평서로 17번길 16(문평동),대전광역시 대덕구 문평동42-4,36.44258427,127.397914,10001,평행봉+철봉,,등의자+평의+족구장,,,1990-07-04,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00005,새일,근린공원,대전광역시 대덕구 문평동로18번길21(문평동) 롯데제과,대전광역시 대덕구 문평동 78-4,36.44804459,127.4030224,10115,평행봉+철봉,,등의자+평의자+화장실,,,1990-07-04,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00006,응봉,근린공원,대전광역시 대덕구 선비마을로 207,대전광역시 대덕구 법동 441-1,36.37124012,127.4326149,11531,평행봉+야외운동기구,,평상+등의자+평의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00007,소리,근린공원,대전광역시 대덕구 동춘당로126번길 5 (송촌동),대전광역시 대덕구 송촌동443-1,36.36775161,127.4371424,17413,야외운동기구,,화장실,,,1993-12-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00008,비래,근린공원,대전광역시 대덕구 동서대로 1830 (비래동),대전광역시 대덕구 비래동108,36.35825134,127.4468471,13935,야외운동기구,,평의자+등의자,,,1993-12-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00009,오정대화,근린공원,대전광역시 대덕구 대오길 16 (오정동),대전광역시 대덕구 오정동 산17-27,36.3622001,127.4160931,75404,야외운동기구,,평상+등의자+평의자,,,1986-09-22,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00010,평촌1,근린공원,대전광역시 대덕구 신탄진로756번안길 90,대전광역시 대덕구 신탄진동 261,36.44309915,127.4344703,38836,,,,,,2009-06-26,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00011,연축1,근린공원,대전광역시 대덕구 신탄진로 150-57,대전광역시 대덕구 연축동 253-2,36.3919317356,127.4228577344,15769,,,,,,2023-01-27,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00012,통매바위,어린이공원,대전광역시 대덕구 오정로76번길 63 (오정동),대전광역시 대덕구 오정동274-1,36.35416603,127.4130442,1858,야외운동기구,조합놀이대+그네,평의자+등의자,,,1972-11-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00013,노촌,어린이공원,대전광역시 대덕구 오정로75번길 26 (오정동),대전광역시 대덕구 오정동311-6,36.35246721,127.4084888,1906,야외운동기구,조합놀이대,평의자,,,1972-11-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00014,봉촌,어린이공원,대전광역시 대덕구 대전로1087번길 22 (오정동),대전광역시 대덕구 오정동382-3,36.35167862,127.414214,1653,평행봉+철봉+농구대,조합놀이대+시소,평의자,,,1972-11-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00015,새말,어린이공원,대전광역시 대덕구 대전로1044번길 33 (오정동),대전광역시 대덕구 오정동453-1,36.34900648,127.417675,1591,야외운동기구,조합놀이대+철봉,평의자+등의자,,,1972-11-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00016,오정,어린이공원,대전광역시 대덕구 한남로149번길 28 (오정동),대전광역시 대덕구 오정동496-1,36.34610385,127.415024,2980,야외운동기구,흔들놀이+조합놀이대,,,,1971-04-09,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00017,새터,어린이공원,대전광역시 대덕구 비래동로7번길 60 (비래동),대전광역시 대덕구 비래동122-3,36.35593054,127.4466581,1654,야외운동기구,조합놀이대+시소,평의자,,,1971-08-04,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00018,원비래,어린이공원,대전광역시 대덕구 비래서로61번길35 (비래동),대전광역시 대덕구 비래동138-4,36.35593576,127.4517066,1630,야외운동기구,조합놀이대,연식의자,,,1971-08-04,대전광역시 대덕구청,042-608-5133,2025-10-17
