관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30110-00001,안터공원,어린이공원,대전광역시 동구 성동로 41,대전광역시 동구 자양동 87-3,36.33940626,127.4524059,1322.3,트위스트+워밍쇼울더+에어서핑+노르딕머신+에어워킹+바디싯업+거꾸리,조합놀이대,육각정자,경로당,,1968-03-05,대전광역시 동구청,042-251-4751,2025-08-04
30110-00002,동산공원,어린이공원,대전광역시 동구 옛신탄진로81번길 20,대전광역시 동구 홍도동 111-1,36.34733097,127.4209003,2120.4,트위스트+에어워킹+바디싯업+워밍암+평행봉+철봉,,육각정자+화장실,경로당,,1971-04-09,대전광역시 동구청,042-251-4751,2025-08-04
30110-00003,홍도공원,어린이공원,대전광역시 동구 대전로994번길 27,대전광역시 동구 홍도동 142-4,36.34443276,127.422135,1500.1,에어서핑+마사지룰라+싸이클링+트위스트+에어워킹+거꾸리,조합놀이대+시소+흔들놀이기구,화장실+파고라+사각정자,,,1971-04-09,대전광역시 동구청,042-251-4751,2025-08-04
30110-00004,용전공원,어린이공원,대전광역시 동구 계족로446번길 19,대전광역시 동구 용전동 132-3,36.3513955,127.4336621,1396.4,사이클링+노르딕머신+레그프레스+로우밍머신+마사지로라+에어서핑+에어워킹+워밍쇼울더+트위스트,조합놀이대+시소+흔들놀이기구,파고라+음수대,경로당,,1971-04-20,대전광역시 동구청,042-251-4751,2025-08-04
30110-00005,진등공원,어린이공원,대전광역시 동구 계족로437번길 32,대전광역시 동구 용전동 177-12,36.35124803,127.4304311,1377.2,노르딕머신+마사지룰라+트위스트+에어서핑+에어워킹+워밍쇼울더,조합놀이대+그네+흔들놀이기구,,경로당,,1971-04-20,대전광역시 동구청,042-251-4751,2025-08-04
30110-00006,흥룡공원,어린이공원,대전광역시 동구 비래서로42번길 51,대전광역시 동구 가양동 35-1,36.35184921,127.4483209,1652.9,에어워킹+싸이클링+에어쇼울더+트위스트+에어서핑+마사지롤러,그네+미끄럼틀,,경로당,,1971-04-20,대전광역시 동구청,042-251-4751,2025-08-04
30110-00007,매봉공원,어린이공원,대전광역시 동구 가양로132번길 26,대전광역시 동구 가양동 430-6,36.34816016,127.4427395,1645.3,트위스트+마사지로라+에어워킹+워밍쇼울더+에어서핑+노르딕머신+레그프레스,조합놀이대+시소+흔들놀이기구,,경로당,,1971-04-20,대전광역시 동구청,042-251-4751,2025-08-04
30110-00008,성남공원,어린이공원,대전광역시 동구 동서대로1678번길 17,대전광역시 동구 성남동 495-1,36.34811713,127.4369008,1564,트위스트+마사지룰라+에어워킹+워밍쇼울더+바디싯업+노르딕머신+에어서핑+게이트볼장,조합놀이대+흔들놀이기구,화장실+육각정자+파고라,경로당,,1971-04-20,대전광역시 동구청,042-251-4751,2025-08-04
30110-00009,가팔공원,어린이공원,대전광역시 동구 우암로296번길 56,대전광역시 동구 가양동 652-4,36.34438053,127.449889,1688.2,워밍쇼울더+에어워킹+에어서핑+트위스트,조합놀이대+그네+미끄럼틀,화장실+파고라,,,1971-08-04,대전광역시 동구청,042-251-4751,2025-08-04
30110-00010,가양공원,문화공원,,대전광역시 동구 가양동 108-7,36.350740,127.452600,743,노르딕머신+트위스트+공중걷기,바닥분수,화장시+앉음벽+파고라+족욕장+야외테이블,,"미스트폴, 시계탑",2025-01-17,대전광역시 동구청,042-251-4751,2025-08-04
30110-00011,무궁화공원,어린이공원,,대전광역시 동구 자양동 111-5,36.33305266,127.4512567,991.7,하늘걷기+옆파도타기+온몸허리돌리기,조합놀이대+그네+시소,사각정자,,,1977-02-28,대전광역시 동구청,042-251-4751,2025-08-04
30110-00012,용운공원,근린공원,대전광역시 동구 새울로68번길 23-23,대전광역시 동구 용운동 389-2,36.32570311,127.4638526,12749.4,롤링웨이스트+터닝트위스트+워밍암+트위스트+철봉+평행봉,,사각정자,,,1982-04-09,대전광역시 동구청,042-251-4751,2025-08-04
30110-00013,도리공원,어린이공원,,대전광역시 동구 용운동 284-1,36.32944383,127.4613736,1500,트위스트+에어서핑+에어워킹,조합놀이대+오르는기구+기타놀이기구+흔들놀이기구,파고라2,,,1982-04-09,대전광역시 동구청,042-251-4751,2025-08-04
30110-00014,선암공원,어린이공원,대전광역시 동구 용운로164번길 42,대전광역시 동구 용운동 377-7,36.32602972,127.4603026,1500.1,워밍쇼울더+마사지룰라+에어워킹+노르딕머신+에어서핑+레그프레스,조합놀이대+그네+흔들놀이기구,화장실+육각정자+파고라,,,1982-04-09,대전광역시 동구청,042-251-4751,2025-08-04
30110-00015,판암공원,어린이공원,,대전광역시 동구 판암동 205,36.3167065,127.4627218,2207.8,워밍암+레그프레스+입식사이클+롤링웨이스트+크로스컨트리+트윈바디싯업+트윈트위스트+스트레칭로라,,,,,1986-08-27,대전광역시 동구청,042-251-4751,2025-08-04
30110-00016,식장산공원,문화공원,대전광역시 동구 세천공원로 32-834,대전광역시 동구 세천동 산 43-3,36.30426429,127.483362,139568,,,전망대+화장실+휴게시설,,,1986-09-22,대전광역시 동구청,042-251-4751,2025-08-04
30110-00017,판암공원,근린공원,,대전광역시 동구 판암동 496-25,36.31867733,127.4541818,42462,트위스트+에어워킹+싸이클링+체어웨이트+풀웨이트+스트레칭로라+레그프레스+하체마사지기+좌식자전거+트윈전신지압기+전신스트레칭머신+에어서핑+평행봉+철봉+배드민턴장,,육각정자+화장실,,,1986-09-26,대전광역시 동구청,042-251-4751,2025-08-04
30110-00018,꽃그늘공원,소공원,,대전광역시 동구 구도동 379,36.27181157,127.468597,1228.6,,,앉음벽+사각정자,,,1992-06-19,대전광역시 동구청,042-251-4751,2025-08-04
30110-00019,낭월3호공원,어린이공원,대전광역시 동구 산내로1327번길 6-13,대전광역시 동구 낭월동 362,36.28207248,127.4662622,2498.8,폴웨이트+트윈트위스트+워밍암+크로스컨트리,조합놀이대,화장실+파고라+음수대,,,1996-01-19,대전광역시 동구청,042-251-4751,2025-08-04
30110-00020,낭월4호공원,어린이공원,,대전광역시 동구 낭월동 566,36.27928115,127.4669333,1493.7,롤링웨이스트+에어워킹+트위스트,조합놀이대+흔들놀이기구+오르는기구+건너는기구,파고라+음수대,,,1996-01-19,대전광역시 동구청,042-251-4751,2025-08-04
