관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30170-00001,은평,근린공원,대전광역시 서구 월평중로 55,대전광역시 서구 월평동 313,36.35946964,127.3635047,31220,운동시설,유희시설,편익시설,,,1988-04-12,대전광역시 서구청,042-288-3623,2026-05-28
30170-00002,도마변동,근린공원,,대전광역시 서구 도마동 413-3,36.32691457,127.374245,30582,배드민턴장 외1종,,화장실외 1종,기념비 외4종,지압보도 외4종,1986-09-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00003,가수원,근린공원,대전광역시 서구 가수원중로 65번길 22,대전광역시 서구 가수원동 802-1,36.29819002,127.3524924,10961.3,생활체육시설 외2종,조합놀이대 외5종,화장실 외2종,,관리사무소 외2종,1985-08-13,대전광역시 서구청,042-288-3623,2026-05-28
30170-00004,갈마,문화공원,대전광역시 서구 갈마역로 55,대전광역시 서구 갈마동 820,36.35550811,127.3740079,91983.1,축구장 외4종,,화장실 외3종,"국민생활관,도서관",관리사 외14종,1988-04-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00005,샘머리,근린공원,대전광역시 서구 둔산북로 85,대전광역시 서구 둔산동 1379,36.35603899,127.3839261,117306.6,운동시설,유희시설,편익시설,교양시설,기타시설,1988-04-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00006,38의거둔지미,근린공원,,대전광역시 서구 둔산동 953,36.35711682,127.3783829,59991.9,마레트골프장,평의자 외 2종,화장실외 1종,기념비,휴지통 외 6개소,1988-04-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00007,보라매,근린공원,,대전광역시 서구 둔산동 1544,36.35356501,127.3848602,54466.8,생활체육시설,,화장실,야생초화원,파고라,1989-12-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00008,씨애틀,근린공원,,대전광역시 서구 둔산동 1385,36.35502625,127.3944429,13077.6,,유희시설,편익시설,교양시설,,1988-04-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00009,남선,근린공원,,대전광역시 서구 탄방동 1084,36.34623037,127.3979912,148517,종합체육관 외3종,놀이터,주차장,야외무대 외1종,관리사 외3종,1988-04-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00010,장갓골,근린공원,,대전광역시 서구 관저동 1129,36.3010162,127.3302645,10099.2,농구장 외3종,놀이터 외3종,음수장 외1종,,안내판 외1종,1995-03-31,대전광역시 서구청,042-288-3623,2026-05-28
