관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30140-00001,테미,근린공원,대전광역시 중구 보문로199번길 37-36 (대흥동),대전광역시 중구 대흥동 326-54,36.31917621,127.4218307,27995,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00002,버드내조폐,근린공원,"대전광역시 중구 유등천동로 428 (태평동, 파라곤아파트)",대전광역시 중구 태평동 421-5,36.32220433,127.388659,26836,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00003,뿌리,근린공원,대전광역시 중구 뿌리공원로 79 (침산동),대전광역시 중구 침산동 364,36.28537962,127.388300,119062,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00004,문화1,근린공원,대전광역시 중구 문화로234번길 91 (문화동),대전광역시 중구 문화동 1-256,36.31288829,127.4117078,7062,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00005,문화2,근린공원,,대전광역시 중구 문화동 338-2,36.316592,127.4041865,3683,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00006,양지,근린공원,,대전광역시 중구 선화동 362-97,36.32481352,127.4159069,24135,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00007,중촌,근린공원,,대전광역시 중구 중촌동 471-32,36.33959777,127.4041513,43045,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00008,대흥,어린이공원,대전광역시 중구 대흥로157번길 31 (대흥동),대전광역시 중구 대흥동 160,36.32595427,127.4284328,3532,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00009,푸른,어린이공원,대전광역시 중구 동서대로1440번길 34,대전광역시 중구 선화동 162-1,36.33495783,127.4167617,1688.3,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00010,용머리,어린이공원,대전광역시 중구 계룡로755번길 23 (용두동),대전광역시 중구 용두동 162-1,36.3318289,127.4029316,1596,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00011,평리,어린이공원,대전광역시 중구 유천로132번길 64 (태평동),대전광역시 중구 태평동 266-3,36.3249041,127.3988703,4826,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00012,천근,어린이공원,,대전광역시 중구 문화동 458-14,36.31120689,127.4021425,631,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00013,옥미,어린이공원,,대전광역시 중구 문화동 484-8,36.30786228,127.4028235,651,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00014,모산,어린이공원,대전광역시 중구 보문산로171번안길 8 (문화동),대전광역시 중구 문화동 563-3,36.30643997,127.3987895,1984,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00015,버드내,어린이공원,대전광역시 중구 문화로99번길 5,대전광역시 중구 유천동 275-5,36.3126778,127.3961958,2459,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00016,무릉,어린이공원,,대전광역시 중구 중촌동 85,36.34223449,127.4105900,2475,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00017,솔밭,어린이공원,,대전광역시 중구 중촌동 102-3,36.33873507,127.4128583,1929,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00018,당대,어린이공원,대전광역시 중구 문화로46번길 50 (산성동),대전광역시 중구 산성동 36-2,36.30850149,127.3912687,5864,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00019,원대,어린이공원,대전광역시 중구 보문산로41번길 13 (산성동),대전광역시 중구 산성동 118-7,36.30536325,127.3852674,1984,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00020,멋티,어린이공원,대전광역시 중구 보문산로36번길 19 (산성동),대전광역시 중구 산성동 122-14,36.30369409,127.3841993,1984,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00021,탑골,어린이공원,대전광역시 중구 보문산로122번안길 44 (산성동),대전광역시 중구 산성동 299-28,36.304774,127.3914287,1984,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00022,범골,어린이공원,대전광역시 중구 돌다리로7번길 52 (석교동),대전광역시 중구 석교동 98-3,36.3074662,127.4445946,2703,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00023,신촌,어린이공원,대전광역시 중구 송리로 55 (문화동),대전광역시 중구 문화동 756,36.3105057,127.4010639,3265,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00024,속리,어린이공원,"대전광역시 중구 산성로 108-24 (문화동, 주공2차아파트)",대전광역시 중구 문화동 776,36.30858849,127.3998382,2542,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00025,마루메기,어린이공원,"대전광역시 중구 보문산로161번길 55 (문화동, 주공1차아파트)",대전광역시 중구 문화동 783,36.30710811,127.3973277,1884,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00026,안영1,어린이공원,,대전광역시 중구 안영동 650,36.291709,127.3802525,3375,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00027,안영2,어린이공원,,대전광역시 중구 안영동 664,36.2900922,127.3793931,2235,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00028,안영3,어린이공원,대전광역시 중구 대둔산로184번길 17 (안영동),대전광역시 중구 안영동 694,36.2865539,127.3795965,2100,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00029,사정1,어린이공원,,대전광역시 중구 사정동 360,36.30016887,127.384277,3604,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00030,사정2,어린이공원,,대전광역시 중구 사정동 407,36.29645357,127.3874974,2540,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
30140-00031,사정3,어린이공원,,대전광역시 중구 사정동 488,36.29518691,127.3836277,2075,,,,,,,대전광역시 중구청,042-606-6603,2024-07-03
