관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30200-00001,죽동,근린공원,,대전광역시 유성구 죽동 712-1,36.37388629,127.3367342,113482,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00002,자운,근린공원,,대전광역시 유성구 자운동 555,36.39655426,127.3511269,16498,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00003,오리골,근린공원,,대전광역시 유성구 장동 451,36.40046264,127.3624534,12123,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00004,수천이들,근린공원,"대전광역시 유성구 신성로 134, (신성동)",대전광역시 유성구 신성동 494,36.39380996,127.3532001,11742,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00005,서당골,근린공원,,대전광역시 유성구 죽동 682,36.37023058,127.3318974,16238,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00006,해랑숲,근린공원,,대전광역시 유성구 지족동 1067,36.38644766,127.3081881,92824,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00007,두레샘골,근린공원,,대전광역시 유성구 죽동 655,36.38091432,127.336131,17481,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00008,덕산,근린공원,,대전광역시 유성구 지족동 1085,36.37543213,127.3067306,11034,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00009,대골,근린공원,,대전광역시 유성구 죽동 666,36.37556866,127.3342338,69809,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00010,구레들,근린공원,,대전광역시 유성구 방현동 416,36.40656733,127.3755667,11276,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00011,고래들,근린공원,,대전광역시 유성구 지족동 1064,36.3867201,127.3102485,13300,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00012,학산,근린공원,,대전광역시 유성구 계산동 728,36.34164725,127.3012367,10081,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00013,천년,근린공원,,대전광역시 유성구 상대동 486,36.34206743,127.3343494,35386,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00014,상대,근린공원,,대전광역시 유성구 상대동 458-2,36.34441607,127.3319725,18614,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00015,용반들,근린공원,,대전광역시 유성구 봉명동 1025-1,36.35202153,127.3422891,12463,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00016,복용,근린공원,,대전광역시 유성구 구암동 산21-44 일원,36.35361426,127.3146979,164414,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00017,복용1,근린공원,"대전광역시 유성구 복용북로18번길 20, (복용동)",대전광역시 유성구 복용동 568,36.3433012,127.3096238,10487,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00018,덕명1(송숲),근린공원,,대전광역시 유성구 덕명동 509,36.35963438,127.3039634,10416,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00019,장배기,근린공원,"대전광역시 유성구 테크노중앙로 4, 1호 (관평동)",대전광역시 유성구 관평동 886,36.42772123,127.3862532,13805,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00020,퇴고개,근린공원,,대전광역시 유성구 하기동 543,36.39047163,127.3258043,38594,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00021,소라실,근린공원,"대전광역시 유성구 지족로328번길 14-11, (지족동)",대전광역시 유성구 지족동 994,36.38676685,127.3125287,21700,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00022,장현,근린공원,,대전광역시 유성구 궁동 477,36.36132686,127.3430567,13041,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00023,갑천,근린공원,,대전광역시 유성구 봉명동 698,36.35725765,127.3543806,17408,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00024,갈마봉,근린공원,"대전광역시 유성구 지족로328번길 123, (지족동)",대전광역시 유성구 지족동 837,36.38401905,127.3174236,12990,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00025,두루봉,근린공원,"대전광역시 유성구 노은동로234번길 34, 1호 외(지족동)",대전광역시 유성구 지족동 871-6,36.38149444,127.3206556,105973,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00026,왕골,근린공원,,대전광역시 유성구 전민동 463-2,36.40062677,127.3991284,21895,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00027,엑스포,근린공원,,대전광역시 유성구 전민동 467-2,36.39931723,127.4059813,13850,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00028,궁동,근린공원,,대전광역시 유성구 궁동 390,36.36408602,127.3492662,21177,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00029,성두산,근린공원,,대전광역시 유성구 구성동 20,36.37236361,127.3685423,190892,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00030,신성,근린공원,,대전광역시 유성구 신성동 11,36.37545364,127.3497938,209496,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00031,송림,근린공원,"대전광역시 유성구 북유성대로 228, (하기동)",대전광역시 유성구 하기동 517,36.38620154,127.319542,14189,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
30200-00032,동화울수변,근린공원,"대전광역시 유성구 테크노중앙로 88, (관평동)",대전광역시 유성구 관평동 771,36.4243927,127.3940968,34130,,,,,,,대전광역시 유성구청,042-611-2718,2026-05-12
