보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자
중로3-123,대전광역시,대덕구,중리동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.3637257,127.4328525,36.36210459,127.4318078,전용,12,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로2-법동16,대전광역시,대덕구,법동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.367557,127.4324411,36.36744658,127.4324711,전용,8,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로2-법동17,대전광역시,대덕구,법동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.36600753,127.4305577,36.36604819,127.4307173,전용,8,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로2-법동18,대전광역시,대덕구,중리동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.36400428,127.4312786,36.36383076,127.4313287,전용,8,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로2-법동19,대전광역시,대덕구,중리동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.36293387,127.4315795,36.36276486,127.4316281,전용,8,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로2-법동20,대전광역시,대덕구,중리동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.36036716,127.4323257,36.36060937,127.4321867,전용,8,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로3-법동10,대전광역시,대덕구,중리동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.36357654,127.4321494,36.36360368,127.4323073,전용,6,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로3-법동12,대전광역시,대덕구,법동,1984-12-18,전일제,00:00,23:59,00:00,23:59,36.36748746,127.427229,36.36866939,127.4268876,전용,6,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로3-법동7,대전광역시,대덕구,법동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.37249325,127.4291056,36.37283791,127.4288053,전용,6,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
소로3-법동8,대전광역시,대덕구,법동,1990-05-23,전일제,00:00,23:59,00:00,23:59,36.36573088,127.4315413,36.36575689,127.4316998,전용,6,Y,보행환경개선,2021-03-22,합격,,,,,,,,,,,대전광역시 대덕구청,042-608-5214,2025-12-23
