보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자
소로3-용운98,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운99,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운100,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운101,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-천동23,대전광역시,동구,천동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-판암48,대전광역시,동구,판암동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-판암49,대전광역시,동구,판암동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-판암50,대전광역시,동구,판암동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-판암51,대전광역시,동구,판암동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-낭월29,대전광역시,동구,낭월동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-대동03,대전광역시,동구,대동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-대동16,대전광역시,동구,대동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-대동43,대전광역시,동구,대동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-대동47,대전광역시,동구,자양동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-대성04,대전광역시,동구,낭월동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-대성05,대전광역시,동구,낭월동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-성남65,대전광역시,동구,가양동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-성남70,대전광역시,동구,성남동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-성남71,대전광역시,동구,성남동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-세천05,대전광역시,동구,세천동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-세천06,대전광역시,동구,세천동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-소제10,대전광역시,동구,소제동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-신흥22,대전광역시,동구,인동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운84-1,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운85,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운86,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운87,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운89,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운90,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운91,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운92,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운93,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
소로3-용운94,대전광역시,동구,용운동,,전일제,00:00,23:59,00:00,23:59,36.326999,127.432683,36.326999,127.432683,,3, ,보행환경개선,2025-08-11,합격,,,,,,,,,,,대전광역시 동구청,042-251-4857,2025-08-11
