보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자
가수원로-1,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,35.868227,127.036108,35.868053,127.036307,,12,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-2,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,35.868138,127.036207,35.856735,127.047921,,12,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-3,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,35.868138,127.036207,36.305905,127.353440,,12,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-4,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,35.868063,127.036504,35.867953,127.037179,,12,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-5,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,35.868163,127.037309,35.867920,127.037179,,12,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-6,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,36.306250,127.348589,35.858458,127.031443,,10,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-7,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,35.240500,128.922317,35.860929,127.031276,,10,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-8,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,36.304770,127.350743,36.305200,127.350743,,10,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-9,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,36.306627,127.351873,36.303574,127.345175,,8,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-10,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,36.307170,127.348257,35.859629,127.030325,,8,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-11,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,37.136834,127.085087,37.136834,127.085087,,8,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-12,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,36.307724,127.348399,36.307589,127.348246,,8,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
가수원로-13,대전광역시,서구,가수원동,,전일제,00:00,23:59,00:00,23:59,36.306555,127.348889,36.307791,127.348405,,8,,보행환경개선,2023-09-12,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2026-02-20
