보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자
한밭대로,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.361420,127.345640,36.361130,127.345730,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
문화원로47번길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.360520,127.341870,36.360400,127.342180,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
문화원로46번길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.359800,127.341290,36.359700,127.341150,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
대학로76번안길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.360770,127.345820,36.360770,127.345820,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
대학로76번안길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.360680,127.345240,36.360680,127.345240,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
대학로81번길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.362001,127.342170,36.360320,127.342980,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
한밭대로,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.361450,127.345640,36.361400,127.345260,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
대학로76번안길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.361400,127.345260,36.360630,127.347270,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
대학로76번안길,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.360750,127.346940,36.360750,127.346940,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
한밭대로,대전광역시,유성구,궁동,,전일제,00:00,23:59,00:00,23:59,36.360490,127.348100,36.360490,127.348100,,8,,보행환경개선,2024-02-01,합격,,,,,,,,,,,대전광역시 유성구청,042-611-2807,2026-01-13
