보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자
소로3-대흥22호선,대전광역시,중구,대흥동,1969-04-11,전일제,00:00,23:59,00:00,23:59,36.3184425,127.420133,36.319599,127.426932,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-대흥8호선,대전광역시,중구,대흥동,1969-04-11,전일제,00:00,23:59,00:00,23:59,36.3184425,127.420133,36.3227242,127.424933,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-대흥21호선,대전광역시,중구,대흥동,1969-04-11,전일제,00:00,23:59,00:00,23:59,36.3227242,127.424933,36.3184824,127.421614,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-문화70호선,대전광역시,중구,문화동,2001-06-14,전일제,00:00,23:59,00:00,23:59,36.3227242,127.424933,36.3117269,127.412893,전용,6,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정2호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정5호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정6호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정7호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정8호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정10호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정11호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-사정12호선,대전광역시,중구,사정동,1995-02-06,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,3,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-선화51호선,대전광역시,중구,선화동,2006-10-13,전일제,00:00,23:59,00:00,23:59,36.2873081,127.379181,36.2873081,127.379181,전용,2,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영2호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.294946,127.397152,36.294946,127.397152,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영3호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영4호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2839585,127.383963,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영5호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영6호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영7호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2911972,127.377597,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영8호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영9호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영10호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영11호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영12호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영13호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영14호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2887373,127.380335,36.2890476,127.381961,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영15호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영16호선,대전광역시,중구,안영동,1998-09-08,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영17호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영18호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로3-안영19호선,대전광역시,중구,안영동,1998-02-28,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.2819047,127.378031,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
소로4-안영1호선,대전광역시,중구,안영동,1997-11-05,전일제,00:00,23:59,00:00,23:59,36.2819047,127.378031,36.284339,127.386168,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2025-11-12
