노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자
대정북로(유성-1),대로2-24,대전광역시,유성구,대전광역시 유성구 대정동 507-21(한우물네거리),대전광역시 유성구 대정동 302-4(유통단지네거리),36.3152638,127.3162527,36.3158856,127.3194099,,0.8,30,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대학로(유성-2),대로3-21,대전광역시,유성구,대전광역시 유성구 가정동 52-4(과학공원네거리),대전광역시 유성구 궁동 258-3(충대정문오거리),36.3754392,127.3788837,36.36268381,127.3439809,유성구청,3.6,25,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대학로(유성-3),광로2-4,대전광역시,유성구,대전광역시 유성구 궁동 258-3(충대정문오거리),대전광역시 유성구 봉명동 1016-1(유성네거리),36.36268381,127.3439809,36.3529709,127.3417826,온천교,0.97,50,1.9,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대덕대로(유성-4),광로2-4,대전광역시,유성구,대전광역시 유성구 봉산동 839(신구교네거리),대전광역시 유성구 관평동 1344(미래로네거리),36.4360958,127.390045,36.428663,127.3869805,,1.2,30,2.7,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대덕대로(유성-5),대로2-11,대전광역시,유성구,대전광역시 유성구 관평동 1344(미래로네거리),대전광역시 유성구 화암동 98-6(화암네거리),36.428663,127.3869805,36.4079573,127.375715,북대전ic네거리,5.2,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대덕대로(유성-6),대로3-23,대전광역시,유성구,대전광역시 유성구 화암동 98-6(화암네거리),대전광역시 유성구 도룡동 381-41(도룡삼거리),36.4079573,127.375715,36.3880426,127.3779475,한국천문연구원,4.6,25,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대덕대로(유성-7),대로2-10,대전광역시,유성구,대전광역시 유성구 도룡동 381-41(도룡삼거리),대전광역시 유성구 가정동 52-4(과학공원네거리),36.3880426,127.3779475,36.3754392,127.3788837,,3,30,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
과학로(유성-8),대로3-28,대전광역시,유성구,대전광역시 유성구 구성동 432-2(구성삼거리),대전광역시 유성구 신성동 459(승적골삼거리),36.369625,127.3700482,36.3853785,127.3548181,,4.8,25,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
가정로(유성-9),광로3-9,대전광역시,유성구,대전광역시 유성구 신성동 302(KT&G중앙연구원),대전광역시 유성구 도룡동 394-3(연구단지네거리),36.3820613,127.3480689,36.3852778,127.3783151,다름고개삼거리,6.4,40,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
가정북로(유성-10),대로3-22,대전광역시,유성구,대전광역시 유성구 장동 361-1(충렬삼거리),대전광역시 유성구 장동 84-19(다름고개삼거리),36.3972795,127.3553137,36.38453725,127.3636932,,3.4,25,2.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
문지로(유성-11),대로3-24,대전광역시,유성구,대전광역시 유성구 도룡동 381-41(도룡삼거리),대전광역시 유성구 도룡동 산22-18(대덕터널),36.3880426,127.3779475,36.3885612,127.3823463,,0.4,25,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
문지로(유성-12),대로3-24,대전광역시,유성구,대전광역시 유성구 도룡동 산22-18(대덕터널),대전광역시 유성구 문지동 613-2(문지삼거리),36.3885612,127.3823463,36.390046,127.4049961,,3,25,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
배울1로(유성-13),대로2-3대로2-4,대전광역시,유성구,대전광역시 유성구 전민동 20-1(한빛대교),대전광역시 유성구 관평동 665,36.4104408,127.4140727,36.420013,127.3820973,동화울교,3.3,30,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
한밭대로(유성-14),광로2-3,대전광역시,유성구,대전광역시 유성구 봉명동 1012-2(갑천대교),대전광역시 유성구 궁동 482-1(충대정문오거리),36.3595511,127.3585635,36.36207497,127.3446411,,1.19,50,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
한밭대로(유성-15),광로2-3,대전광역시,유성구,대전광역시 유성구 궁동 258-3(충대정문오거리),대전광역시 유성구 노은동 61-11(월드컵사거리),36.36268381,127.3439809,36.3668638,127.326477,,3.2,50,1.8,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
한밭대로(유성-16),광로2-3,대전광역시,유성구,대전광역시 유성구 노은동 61-11(월드컵사거리),대전광역시 유성구 노은동 564-1(수정초네거리),36.3668638,127.326477,36.3665588,127.3124834,노은네거리,2.4,50,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
송림로(유성-17),중로1-169,대전광역시,유성구,대전광역시 유성구 지족동 984-5(반석네거리),대전광역시 유성구 하기동 531-2(송림네거리),36.3872622,127.317540,36.3873451,127.3226109,,1.2,20,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
